state,rtw_status,status,switch_status,population,medicaid,ui_rate,uninsured,perpupil_spend,fed_min,min_wage,wage_2009,change_2009
AK,0,non-RTW,0,558879,1,0.238756301,0.11,22976.79638,0,14,7.25,6.75
AL,1,RTW,1,4154503,0,0.147264625,0.059,15892.92614,1,7.25,7.25,0
AR,1,RTW,1,2463092,1,0.172343906,0.079,15891.32221,0,11,7.25,3.75
AZ,1,RTW,1,6172292,1,0.180487991,0.058,14322.57934,0,15.15,7.25,7.9
CA,0,non-RTW,0,31737684,1,0.394089397,0.045,23555.31966,0,16.9,8,8.9
CO,0,non-RTW,0,4869646,1,0.251631591,0.069,18599.98298,0,15.16,7.28,7.88
CT,0,non-RTW,0,3028315,1,0.417596285,0.035,28360.60954,0,16.94,8,8.94
DC,0,non-RTW,0,572564,1,0.266576971,0.069,36583.85685,0,18.4,7.55,10.85
DE,0,non-RTW,0,870686,1,0.242453433,0.028,23351.3543,0,15,7.25,7.75
FL,1,RTW,1,19347807,0,0.099316271,0.063,16000.01238,0,14,7.25,6.75
GA,1,RTW,1,8988476,0,0.174809404,0.055,17943.39935,1,7.25,7.25,0
HI,0,non-RTW,0,1133239,1,0.38162397,0.051,26053.02021,0,16,7.25,8.75
IA,1,RTW,1,2571557,1,0.227831442,0.051,17541.60981,1,7.25,7.25,0
ID,1,RTW,1,1617918,1,0.199120071,0.077,12521.62887,1,7.25,7.25,0
IL,0,non-RTW,0,10270296,1,0.325589244,0.088,24616.17378,0,15,8,7
IN,1,RTW,2,5526942,1,0.183238866,0.045,15524.46584,1,7.25,7.25,0
KS,1,RTW,1,2330248,0,0.140550164,0.077,15917.73778,1,7.25,7.25,0
KY,1,RTW,2,3647356,1,0.103743071,0.101,17257.80937,1,7.25,7.25,0
LA,1,RTW,1,3607846,1,0.136834607,0.05,17452.37853,1,7.25,7.25,0
MA,0,non-RTW,0,5931881,1,0.456216807,0.067,28024.79284,0,15,8,7
MD,0,non-RTW,0,5021841,1,0.247504784,0.052,22940.2891,0,15,7.25,7.75
ME,0,non-RTW,0,1189589,1,0.292093165,0.058,22162.74503,0,15.1,7.25,7.85
MI,0,non-RTW,2,8245814,1,0.243811955,0.046,20101.06878,0,13.73,7.4,6.33
MN,0,non-RTW,0,4674478,1,0.539816246,0.042,20422.54568,0,11.41,7.25,4.16
MO,0,non-RTW,0,5003968,1,0.173164655,0.065,17122.37407,0,15,7.25,7.75
MS,1,RTW,1,2328011,0,0.166396527,0.082,14703.51899,1,7.25,7.25,0
MT,0,non-RTW,0,933598,1,0.372942761,0.094,15714.24237,0,10.85,7.25,3.6
NC,1,RTW,1,9026427,1,0.122216182,0.103,14465.05851,1,7.25,7.25,0
ND,1,RTW,1,623041,1,0.322728917,0.109,20536.63419,1,7.25,7.25,0
NE,1,RTW,1,1579479,1,0.177310709,0.12,18008.41951,0,15,7.25,7.75
NH,0,non-RTW,0,1192658,1,0.158325521,0.054,24893.64677,1,7.25,7.25,0
NJ,0,non-RTW,0,7734202,1,0.469080641,0.092,29889.12345,0,15.92,7.25,8.67
NM,0,non-RTW,0,1710375,1,0.256228359,0.075,21129.16752,0,12,7.5,4.5
NV,1,RTW,1,2673857,1,0.287825483,0.085,14817.38352,0,12,7.25,4.75
NY,0,non-RTW,0,16368550,1,0.402754708,0.068,33417.19615,0,16,7.25,8.75
OH,0,non-RTW,0,9551264,1,0.197056751,0.077,19285.35125,0,11,7.3,3.7
OK,1,RTW,1,3222223,1,0.165534789,0.097,13761.84819,1,7.25,7.25,0
OR,0,non-RTW,0,3530036,1,0.34830523,0.086,20847.79754,0,15.55,8.4,7.15
PA,0,non-RTW,0,10640984,1,0.376119241,0.061,23769.73853,1,7.25,7.25,0
RI,0,non-RTW,0,929110,1,0.455648936,0.071,24989.9523,0,16,7.4,8.6
SC,1,RTW,1,4536723,0,0.157749406,0.114,17543.53412,1,7.25,7.25,0
SD,1,RTW,1,729009,1,0.18596767,0.115,17129.32734,0,11.85,7.25,4.6
TN,1,RTW,1,5876697,0,0.1504039,0.09,14930.52108,1,7.25,7.25,0
TX,1,RTW,1,24771830,0,0.233443039,0.081,16119.39592,1,7.25,7.25,0
UT,1,RTW,1,2746186,1,0.230176767,0.097,13602.06157,1,7.25,7.25,0
VA,1,RTW,1,7097196,1,0.144910656,0.167,18993.89169,0,12.77,7.25,5.52
VT,0,non-RTW,0,544100,1,0.351530267,0.083,32336.36864,0,14.42,8.06,6.36
WA,0,non-RTW,0,6512775,1,0.341222809,0.069,20964.80893,0,17.13,8.55,8.58
WI,1,RTW,2,4863245,0,0.287837227,0.053,19687.35818,1,7.25,7.25,0
WV,1,RTW,2,1435268,1,0.24159718,0.058,18468.53153,0,8.75,7.25,1.5
WY,1,RTW,1,472398,0,0.216879835,0.103,23093.96687,1,7.25,7.25,0
